Area,All,PT,FT,NW,Male,Female
E01001916 : Hammersmith and Fulham 024B,11,0,5,6,2,9
E01001926 : Hammersmith and Fulham 024C,12,3,2,7,1,11
E01001925 : Hammersmith and Fulham 025A,13,2,3,8,0,13
E01001913 : Hammersmith and Fulham 014C,14,4,4,6,3,11
E01001950 : Hammersmith and Fulham 021D,14,2,6,6,1,13
E01001869 : Hammersmith and Fulham 010D,15,5,5,5,0,15
E01001924 : Hammersmith and Fulham 020E,15,4,6,5,1,14
E01001867 : Hammersmith and Fulham 012B,16,6,5,5,1,15
E01001904 : Hammersmith and Fulham 022A,16,3,5,8,2,14
E01001927 : Hammersmith and Fulham 008C,17,2,7,8,2,15
E01001906 : Hammersmith and Fulham 022C,17,1,4,12,2,15
E01001889 : Hammersmith and Fulham 014A,20,4,6,10,0,20
E01001888 : Hammersmith and Fulham 018A,21,5,8,8,4,17
E01001907 : Hammersmith and Fulham 022D,21,4,7,10,1,20
E01001905 : Hammersmith and Fulham 022B,22,8,7,7,1,21
E01001915 : Hammersmith and Fulham 024A,23,7,7,9,5,18
E01001929 : Hammersmith and Fulham 009D,24,7,10,7,4,20
E01001872 : Hammersmith and Fulham 012F,24,5,7,12,1,23
E01001882 : Hammersmith and Fulham 017C,24,6,8,10,0,24
E01001891 : Hammersmith and Fulham 018B,24,6,8,10,0,24
E01001949 : Hammersmith and Fulham 021C,24,3,6,15,2,22
E01001866 : Hammersmith and Fulham 012A,25,3,13,9,3,22
E01001871 : Hammersmith and Fulham 012E,25,3,10,12,4,21
E01001922 : Hammersmith and Fulham 020C,25,8,4,13,0,25
E01001851 : Hammersmith and Fulham 010A,26,7,7,12,3,23
E01001910 : Hammersmith and Fulham 014B,26,12,3,11,6,20
E01001952 : Hammersmith and Fulham 024D,26,4,9,13,1,25
E01001919 : Hammersmith and Fulham 018E,27,13,7,7,0,27
E01001937 : Hammersmith and Fulham 025C,27,4,7,16,0,27
E01001914 : Hammersmith and Fulham 014D,28,8,5,15,0,28
E01001890 : Hammersmith and Fulham 016C,28,7,9,12,6,22
E01001917 : Hammersmith and Fulham 018C,28,11,9,8,4,24
E01001918 : Hammersmith and Fulham 018D,28,6,9,13,0,28
E01001853 : Hammersmith and Fulham 007B,29,10,7,12,1,28
E01001881 : Hammersmith and Fulham 017B,30,7,12,11,0,30
E01001921 : Hammersmith and Fulham 020B,30,4,9,17,5,25
E01001898 : Hammersmith and Fulham 013C,31,12,6,13,1,30
E01001951 : Hammersmith and Fulham 021E,31,7,6,18,3,28
E01001933 : Hammersmith and Fulham 011D,32,8,6,18,3,29
E01001852 : Hammersmith and Fulham 007A,33,9,8,16,0,33
E01001908 : Hammersmith and Fulham 015B,34,5,13,16,2,32
E01001901 : Hammersmith and Fulham 019B,36,9,10,17,2,34
E01001902 : Hammersmith and Fulham 019C,36,10,6,20,5,31
E01001923 : Hammersmith and Fulham 020D,37,6,9,22,0,37
E01001941 : Hammersmith and Fulham 005C,38,5,12,21,2,36
E01001897 : Hammersmith and Fulham 009C,38,6,15,17,4,34
E01001932 : Hammersmith and Fulham 011C,39,8,7,24,3,36
E01001887 : Hammersmith and Fulham 016B,39,12,8,19,2,37
E01001865 : Hammersmith and Fulham 008B,40,4,16,20,4,36
E01001920 : Hammersmith and Fulham 020A,40,9,6,25,2,38
E01001895 : Hammersmith and Fulham 009A,41,9,14,18,2,39
E01001863 : Hammersmith and Fulham 006D,42,12,10,20,1,41
E01001855 : Hammersmith and Fulham 010B,42,15,9,18,0,42
E01001883 : Hammersmith and Fulham 017D,42,8,6,28,1,41
E01001896 : Hammersmith and Fulham 009B,43,4,13,26,1,42
E01001880 : Hammersmith and Fulham 017A,43,12,13,18,2,41
E01001953 : Hammersmith and Fulham 021F,43,6,16,21,1,42
E01001864 : Hammersmith and Fulham 006E,45,12,15,18,5,40
E01001870 : Hammersmith and Fulham 012D,45,10,16,19,5,40
E01001879 : Hammersmith and Fulham 019A,45,17,8,20,2,43
E01001894 : Hammersmith and Fulham 013B,46,13,8,25,3,43
E01001909 : Hammersmith and Fulham 015C,47,7,22,18,2,45
E01001854 : Hammersmith and Fulham 007C,48,11,14,23,1,47
E01001930 : Hammersmith and Fulham 008D,48,14,13,21,0,48
E01001942 : Hammersmith and Fulham 005D,51,16,20,15,6,45
E01001928 : Hammersmith and Fulham 011A,52,17,15,20,3,49
E01001948 : Hammersmith and Fulham 021B,52,10,12,30,4,48
E01001946 : Hammersmith and Fulham 004D,54,9,18,27,2,52
E01001960 : Hammersmith and Fulham 003D,57,11,18,28,4,53
E01001884 : Hammersmith and Fulham 017E,57,5,26,26,8,49
E01001861 : Hammersmith and Fulham 006C,59,14,18,27,3,56
E01001935 : Hammersmith and Fulham 023A,59,17,18,24,4,55
E01032789 : Hammersmith and Fulham 023E,59,18,16,25,3,56
E01001877 : Hammersmith and Fulham 001D,60,16,18,26,3,57
E01001943 : Hammersmith and Fulham 004A,60,9,14,37,4,56
E01001858 : Hammersmith and Fulham 006A,61,13,19,29,5,56
E01001903 : Hammersmith and Fulham 019D,62,17,16,29,8,54
E01001945 : Hammersmith and Fulham 004C,63,19,19,25,8,55
E01001873 : Hammersmith and Fulham 010E,63,21,14,28,3,60
E01032790 : Hammersmith and Fulham 023F,64,21,7,36,3,61
E01001954 : Hammersmith and Fulham 003A,65,21,10,34,3,62
E01001956 : Hammersmith and Fulham 003B,66,16,16,34,3,63
E01001856 : Hammersmith and Fulham 010C,66,19,21,26,12,54
E01001931 : Hammersmith and Fulham 011B,66,20,5,41,6,60
E01032788 : Hammersmith and Fulham 023D,67,22,22,23,2,65
E01001940 : Hammersmith and Fulham 005B,68,18,16,34,5,63
E01001900 : Hammersmith and Fulham 013E,68,19,18,31,12,56
E01001857 : Hammersmith and Fulham 007D,69,25,11,33,2,67
E01001886 : Hammersmith and Fulham 016A,69,18,12,39,2,67
E01001892 : Hammersmith and Fulham 016D,70,19,14,37,3,67
E01001862 : Hammersmith and Fulham 005A,71,14,22,35,3,68
E01001959 : Hammersmith and Fulham 003C,72,16,12,44,6,66
E01001899 : Hammersmith and Fulham 013D,74,18,14,42,4,70
E01001893 : Hammersmith and Fulham 013A,75,22,14,39,1,74
E01001938 : Hammersmith and Fulham 025D,78,19,13,46,3,75
E01001874 : Hammersmith and Fulham 001A,81,19,22,40,2,79
E01001860 : Hammersmith and Fulham 006B,82,24,14,44,1,81
E01001868 : Hammersmith and Fulham 012C,82,30,18,34,5,77
E01001912 : Hammersmith and Fulham 015E,85,23,17,45,3,82
E01001934 : Hammersmith and Fulham 025B,88,32,17,39,5,83
E01001885 : Hammersmith and Fulham 015A,89,23,23,43,4,85
E01001944 : Hammersmith and Fulham 004B,100,23,21,56,5,95
E01001939 : Hammersmith and Fulham 023C,101,28,26,47,6,95
E01001876 : Hammersmith and Fulham 001C,102,18,21,63,8,94
E01001961 : Hammersmith and Fulham 002D,105,30,18,57,4,101
E01001875 : Hammersmith and Fulham 001B,108,27,21,60,4,104
E01001878 : Hammersmith and Fulham 001E,110,33,17,60,3,107
E01001911 : Hammersmith and Fulham 015D,111,31,22,58,6,105
E01001947 : Hammersmith and Fulham 021A,115,26,28,61,3,112
E01001957 : Hammersmith and Fulham 002B,120,26,28,66,8,112
E01001955 : Hammersmith and Fulham 002A,122,23,25,74,1,121
E01001859 : Hammersmith and Fulham 008A,131,31,31,69,3,128
E01001958 : Hammersmith and Fulham 002C,137,32,34,71,5,132
